Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Tradisional,408.98819845,42.84625793,14.67084119,380.81278171,3746.50558238,0.0,6967.35814298,11094.67650707,98.8086,0.0,0.0,-62.5037987,-17.1,1.85182751,21.056628810000007,3076.77683611,0.0,0.0,285.0,3361.77683611,3382.83346492,0.0,2400.00904106,1879.9516318,74.001594,446.05581526,0.0,0.0,639.68192869,3039.69096975,6422.52443467,0.0,4672.1520724,0.0,4672.1520724,5522.5,10194.6520724,2023-01-01
PAYDI,262938.12659072,0.0,0.0,262938.12659072,-19825.95369480001,0.0,0.0,243112.17289592003,0.0,163022.45410704,0.0,0.0,0.0,0.0,163022.45410704,0.0,0.0,0.0,0.0,0.0,163022.45410704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1101.39811367,-1101.39811367,161921.05599336998,81191.11690255004,0.0,0.0,0.0,0.0,0.0,2023-01-01
Gabungan,263347.11478917004,42.84625793,14.67084119,263318.93937243003,-16079.448112420008,0.0,6967.35814298,254206.84940299,98.8086,163022.45410704,0.0,-62.5037987,-17.1,1.85182751,163043.51073584997,3076.77683611,0.0,0.0,285.0,3361.77683611,166405.28757195995,0.0,2400.00904106,1879.9516318,74.001594,446.05581526,0.0,0.0,-461.71618498,1938.29285608,168343.58042803995,81191.11690255004,4672.152072400029,0.0,4672.152072400029,5522.5,10194.65207240003,2023-01-01
Tradisional,798.7262811800001,90.88005943,20.79865724,728.6448789900002,4092.81100194,0.0,13859.3691285,18680.82500943,441.862416,0.0,0.0,-122.02006288,-242.72569983,3.82514517,80.94179845999997,5877.39364136,0.0,0.0,445.825,6323.218641359999,6404.16043982,34.7238211,4876.12666653,3899.9616597,117.99434,858.17066683,0.0,0.0,667.56475228,5578.41523991,11982.57567973,0.0,6698.249329700002,0.0,6698.249329700002,3792.5,10490.749329700002,2023-02-01
PAYDI,484799.10990581993,0.0,0.0,484799.10990581993,6285.066327190018,0.0,0.0,491084.17623301,0.0,551502.4113935201,0.0,0.0,0.0,0.0,551502.4113935201,0.0,0.0,0.0,0.0,0.0,551502.4113935201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.3109737800005,447.3109737800005,551949.7223673001,-60865.54613429011,0.0,0.0,0.0,0.0,0.0,2023-02-01
Gabungan,485597.8361869999,90.88005943,20.79865724,485527.7547848099,10377.877329130017,0.0,13859.3691285,509765.0012424399,441.862416,551502.4113935201,0.0,-122.02006288,-242.72569983,3.82514517,551583.35319198,5877.39364136,0.0,0.0,445.825,6323.218641359999,557906.57183334,34.7238211,4876.12666653,3899.9616597,117.99434,858.17066683,0.0,0.0,1114.8757260600005,6025.726213690001,563932.29804703,-60865.54613429011,6698.249329700018,0.0,6698.249329700018,3792.5,10490.749329700018,2023-02-01
Tradisional,1405.6734204000002,73.42083442,111.88634096,1444.1389269400004,6378.707115470002,0.0,20383.74029969,28206.5863421,662.21449905,0.0,0.0,-74.8326203,-200.29729983,5.18583064,392.27040956,8768.96110004,0.0,0.0,576.125,9345.08610004,9737.3565096,54.8242581,7548.63907029,5906.973610599999,188.90203,1452.7634296900003,0.0,0.0,1239.80258148,8843.26590987,18580.62241947,0.0,9625.96392263,0.0,9625.96392263,3270.0,12895.96392263,2023-03-01
PAYDI,715608.43177591,0.0,0.0,715608.43177591,-12369.795394239998,0.0,0.0,703238.63638167,0.0,822211.4619428,0.0,0.0,0.0,0.0,822211.4619428,0.0,0.0,0.0,0.0,0.0,822211.4619428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.451508530001,3154.451508530001,825365.9134513299,-122127.2770696599,0.0,0.0,0.0,0.0,0.0,2023-03-01
Gabungan,717014.10519631,73.42083442,111.88634096,717052.57070285,-5991.088278769997,0.0,20383.74029969,731445.2227237701,662.21449905,822211.4619428,0.0,-74.8326203,-200.29729983,5.18583064,822603.73235236,8768.96110004,0.0,0.0,576.125,9345.08610004,831948.8184524,54.8242581,7548.63907029,5906.973610599999,188.90203,1452.7634296900003,0.0,0.0,4394.254090010001,11997.7174184,843946.5358708,-122127.2770696599,9625.963922629948,0.0,9625.963922629948,3270.0,12895.963922629948,2023-03-01
Tradisional,2202.20942862,197.80635103,85.69676424000001,2090.09984183,8360.017214959998,0.0,26390.31607816,36840.43313495,702.21449905,0.0,12.5,-29.30399295,-16.04479983,7.62894588,651.99465215,11541.14791951,0.0,0.0,701.585,12242.73291951,12894.72757166,80.79276253,12187.866608639995,9670.497760859998,195.40203,2321.9668177800004,0.0,0.0,1852.31949284,14120.978864009998,27015.70643567,0.0,9824.72669928,0.0,9824.72669928,2085.0,11909.72669928,2023-04-01
