IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2023-12-01,185_22_2023,46574651.54280771,27800000.0,18774651.54280771,681775.0253574572,546040.0901479056,106040.09014790563,240000.0,199999.99999999997,30604.009014790565,105130.92619476106,0,440000.0,199999.99999999997,240000.0,0.0,0,-241775.02535745723,0.0,0.0,0,0.0,-681775.0253574572,0,240000.0,336773.74894974567,0.0,-105001.27640771156,46229650.266399994,27560000.0,18669650.2664,STAR PROTECTION SECURE PLAN
2024-01-01,185_22_2023,46229650.266399994,27560000.0,18669650.2664,681992.521605772,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,105348.42244307582,0,440000.0,199999.99999999997,240000.0,0.0,0,-241992.52160577197,0.0,0.0,0,0.0,-681992.521605772,0,240000.0,223089.97455164744,0.0,-218902.54705412453,45770747.719345875,27320000.0,18450747.719345875,STAR PROTECTION SECURE PLAN
2024-02-01,185_22_2023,45770747.719345875,27320000.0,18450747.719345875,682206.621648524,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,105562.52248582782,0,440000.0,199999.99999999997,240000.0,0.0,0,-242206.62164852396,0.0,0.0,0,0.0,-682206.621648524,0,240000.0,388001.0202326961,0.0,-54205.60141582787,45476542.11793005,27080000.0,18396542.117930047,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2023,45476542.11793005,27080000.0,18396542.117930047,682433.0763948732,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,105788.97723217704,0,440000.0,199999.99999999997,240000.0,0.0,0,-242433.0763948732,0.0,0.0,0,0.0,-682433.0763948732,0,240000.0,105401.7601644923,0.0,-337031.3162303809,44899510.80169967,26840000.0,18059510.801699664,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2023,44899510.80169967,26840000.0,18059510.801699664,682685.8214180873,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,106041.72225539121,0,440000.0,199999.99999999997,240000.0,0.0,0,-242685.82141808735,0.0,0.0,0,0.0,-682685.8214180873,0,240000.0,-132875.580357729,0.0,-575561.4017758163,44083949.399923846,26600000.0,17483949.39992385,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2023,44083949.399923846,26600000.0,17483949.399923846,682966.4628874039,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,106322.3637247077,0,440000.0,199999.99999999997,240000.0,0.0,0,-242966.4628874039,0.0,0.0,0,0.0,-682966.4628874039,0,240000.0,-147914.74680381594,0.0,-590881.2096912198,43253068.19023263,26360000.0,16893068.190232627,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2023,43253068.190232635,26360000.0,16893068.19023263,683350.0293710396,546040.0901479056,106040.09014790562,240000.0,199999.99999999997,30604.009014790565,106705.93020834343,0,440000.0,199999.99999999997,240000.0,0.0,0,-243350.0293710396,0.0,0.0,0,0.0,-683350.0293710396,0,240000.0,-331409.83156181185,0.0,-774759.8609328514,42238308.32929978,26120000.0,16118308.329299778,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2023,42238308.32929978,26120000.0,16118308.329299776,686193.6932629462,548913.0186206647,108913.0186206647,240000.0,200000.0,30891.301862066473,106389.37278021495,0,440000.0,200000.0,240000.0,0.0,0,-246193.6932629462,12000000.0,0.0,0,12000000.0,11313806.306737054,0,240000.0,-140509.61535454396,0.0,11413296.69138251,53411605.02068229,25880000.0,27531605.020682286,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2023,53411605.02068228,25880000.0,27531605.020682283,689062.3951401266,553630.437728183,113630.43772818297,240000.0,199999.99999999997,31363.043772818295,104068.91363912528,0,440000.0,199999.99999999997,240000.0,0.0,0,-249062.39514012658,34000000.0,0.0,0,34000000.0,33310937.604859874,0,240000.0,251173.7904173343,0.0,33802111.39527721,86973716.41595949,25640000.0,61333716.41595949,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2023,86973716.4159595,25640000.0,61333716.4159595,686671.5858491077,553630.437728183,113630.43772818297,240000.0,200000.0,31363.043772818295,101678.10434810646,0,440000.0,200000.0,240000.0,0.0,0,-246671.5858491077,0.0,0.0,0,0.0,-686671.5858491077,0,240000.0,563501.3954542552,0.0,116829.80960514746,86850546.22556464,25400000.0,61450546.225564644,STAR PROTECTION SECURE PLAN
2024-10-01,185_22_2023,86850546.22556463,25400000.0,61450546.22556464,684408.3625063834,553920.2516211104,113920.25162111036,240000.0,199999.99999999997,31392.025162111036,99096.08572316203,0,440000.0,199999.99999999997,240000.0,0.0,0,-244408.36250638345,2000000.0,0.0,0,2000000.0,1315591.6374936164,0,240000.0,576952.9260389376,0.0,2132544.563532554,88743090.78909719,25160000.0,63583090.78909719,STAR PROTECTION SECURE PLAN
2024-11-01,185_22_2023,88743090.78909719,25160000.0,63583090.7890972,681764.5268301212,553920.2516211104,113920.25162111036,240000.0,199999.99999999997,31392.025162111036,96452.25004689983,0,440000.0,199999.99999999997,240000.0,0.0,0,-241764.52683012118,0.0,0.0,0,0.0,-681764.5268301212,0,240000.0,323007.25090206246,0.0,-118757.27592805872,88384333.51316914,24920000.0,63464333.51316914,STAR PROTECTION SECURE PLAN
2024-12-01,185_22_2023,88384333.51316914,24920000.0,63464333.51316913,679069.3058960148,553920.2516211104,113920.25162111036,240000.0,199999.99999999997,31392.025162111036,93757.02911279339,0,440000.0,199999.99999999997,240000.0,0.0,0,-239069.3058960148,0.0,0.0,0,0.0,-679069.3058960148,0,240000.0,130597.31054921128,0.0,-308471.9953468035,87835861.51782233,24680000.0,63155861.517822325,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2024,0.0,0.0,0.0,55816.502937506375,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7502.169199259561,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19149.836270839704,4000000.0,-2400000.0,0,6400000.0,3944183.4970624936,0,-2380000.0,13537.78021882422,0.0,1577721.2772813179,3957721.277281318,2380000.0,1577721.2772813179,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2024,3957721.277281318,2380000.0,1577721.2772813179,55822.0029916079,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7507.669253361086,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19155.33632494123,0.0,0.0,0,0.0,-55822.0029916079,0,20000.0,-5225.991765720886,0.0,-41047.99475732879,3896673.2825239887,2360000.0,1536673.282523989,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2024,3896673.2825239887,2360000.0,1536673.282523989,55829.35449518693,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7515.020756940119,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19162.687828520262,0.0,0.0,0,0.0,-55829.35449518693,0,20000.0,-10265.067547959508,0.0,-46094.42204314644,3830578.8604808426,2340000.0,1490578.8604808426,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2024,3830578.8604808426,2340000.0,1490578.8604808426,55843.61805464383,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7529.284316397015,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19176.951387977162,0.0,0.0,0,0.0,-55843.61805464383,0,20000.0,-19581.236220290317,0.0,-55424.85427493415,3755154.0062059085,2320000.0,1435154.0062059085,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2024,3755154.0062059085,2320000.0,1435154.0062059085,55860.188301064634,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7545.854562817818,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19193.521634397963,0.0,0.0,0,0.0,-55860.188301064634,0,20000.0,-15296.678810544021,0.0,-51156.867111608655,3683997.1390942996,2300000.0,1383997.1390942999,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2024,3683997.1390942996,2300000.0,1383997.1390942999,55878.36080055575,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7564.027062308933,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19211.694133889076,0.0,0.0,0,0.0,-55878.36080055575,0,20000.0,-1382.1787073136802,0.0,-37260.53950786943,3626736.5995864305,2280000.0,1346736.5995864305,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2024,3626736.5995864305,2280000.0,1346736.5995864305,55896.297794473954,45740.3033984062,9073.63673173953,20000.0,16666.666666666668,2574.03033984062,7581.964056227138,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19229.631127807283,0.0,0.0,0,0.0,-55896.297794473954,0,20000.0,32317.891669559845,0.0,-3578.4061249141087,3603158.1934615164,2260000.0,1343158.1934615164,STAR PROTECTION SECURE PLAN
