IFRS_MONTH,KEY,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin,NAMA_PRODUK
2023-12-01,185_22_2023,0.0,3677330.4684385518,-3652777.735505955,-105130.92619476106,12048973.4429,STAR PROTECTION SECURE PLAN
2024-01-01,185_22_2023,0.0,3598083.4718611706,-3573109.0410604263,-105348.42244307582,11968599.451257668,STAR PROTECTION SECURE PLAN
2024-02-01,185_22_2023,0.0,3350719.11891474,-3326349.1820150735,-105562.52248582782,11887406.865671508,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2023,0.0,3384492.2387566515,-3358945.4524743175,-105788.97723217704,11807164.674721664,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2023,0.0,3656588.911987596,-3628335.492279033,-106041.72225539121,11729376.372174837,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2023,0.0,3943872.4851382184,-3912787.2906548665,-106322.3637247077,11654139.202933481,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2023,0.0,-419180.1526853321,461264.67054164887,-106705.93020834343,11589517.790581454,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2023,0.0,-111803.88481637966,77911.16503886206,-106389.37278021495,11449235.698023722,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2023,0.0,11720.692204200916,-261206.1780792183,-104068.91363912528,11095681.29850958,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2023,0.0,-180035.1339164868,-74624.80391252117,-101678.10434810646,10739343.256332465,STAR PROTECTION SECURE PLAN
2024-10-01,185_22_2023,0.0,-374741.1601607997,102257.08729594469,-99096.08572316203,10367763.097744446,STAR PROTECTION SECURE PLAN
2024-11-01,185_22_2023,0.0,-315556.99144648557,39192.06613075384,-96452.25004689983,9994945.922381815,STAR PROTECTION SECURE PLAN
2024-12-01,185_22_2023,0.0,-62680.271521933784,-216361.57423813333,-93757.02911279339,9622147.047508955,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2024,899784.5914888273,373599.0924384743,-373123.3800161547,-7502.169199259561,892758.1347118872,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2024,0.0,391619.61483985756,-390965.1084017758,-7507.669253361086,885904.9718966079,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2024,0.0,414702.20851491595,-413834.73109259014,-7515.020756940119,879257.4285619936,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2024,0.0,67411.77172730878,-65742.93527085206,-7529.284316397015,873396.9807020533,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2024,0.0,92052.86909098041,-90130.72050616723,-7545.854562817818,867773.2747240487,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2024,0.0,102689.3823091418,-100599.54486766353,-7564.027062308933,862299.085103218,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2024,0.0,79319.2895920584,-77274.47228538289,-7581.964056227138,856761.9383536663,STAR PROTECTION SECURE PLAN
2024-10-01,185_22_2024,0.0,65234.65599467166,-63174.76779332002,-7600.193155354145,851221.6333996638,STAR PROTECTION SECURE PLAN
2024-11-01,185_22_2024,0.0,70941.43082543855,-68739.5060519703,-7619.853197974397,845803.7049751577,STAR PROTECTION SECURE PLAN
2024-12-01,185_22_2024,0.0,92018.30487560356,-89574.61651789068,-7641.868408404243,840605.5249244664,STAR PROTECTION SECURE PLAN
2023-12-01,185_23_2023,16718989.772415241,25542441.11195039,-25441517.913828354,-599419.4561890878,70017174.481,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2023,0.0,25468769.63202719,-25363240.91147615,-600327.692048057,69522375.50950299,STAR PROTECTION SECURE PLAN
2024-02-01,185_23_2023,0.0,25390911.066255603,-25280690.70093234,-601284.2946014489,69031311.5802248,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2023,0.0,24861611.775200292,-24749401.033997297,-602266.4049659958,68541255.91646181,STAR PROTECTION SECURE PLAN
2024-04-01,185_23_2023,0.0,26205664.92705907,-26079560.603222325,-603379.2095256636,68063981.03077288,STAR PROTECTION SECURE PLAN
2024-05-01,185_23_2023,0.0,27600121.276038695,-27459659.05239932,-604629.1638389158,67599814.09057334,STAR PROTECTION SECURE PLAN
2024-06-01,185_23_2023,0.0,1461190.446579218,-1258691.6597079153,-606445.1524515408,67195867.72499311,STAR PROTECTION SECURE PLAN
2024-07-01,185_23_2023,0.0,3303255.2451043036,-3081167.749838848,-608454.2211222113,66809500.99913635,STAR PROTECTION SECURE PLAN
2024-08-01,185_23_2023,0.0,4074335.3793403315,-3839191.270560114,-610600.4434558302,66434044.66446074,STAR PROTECTION SECURE PLAN
2024-09-01,185_23_2023,0.0,2991657.98320273,-3324327.3975797086,-607508.7841267339,65493866.46595702,STAR PROTECTION SECURE PLAN
2024-10-01,185_23_2023,0.0,1879804.1762977978,-2410940.2055046055,-602544.5221914588,64360185.91455876,STAR PROTECTION SECURE PLAN
2024-11-01,185_23_2023,0.0,2268571.3665454923,-3385048.1632692623,-592076.0280383398,62651633.08979665,STAR PROTECTION SECURE PLAN
2024-12-01,185_23_2023,0.0,3800502.964741453,-5443331.578513543,-576567.6543395438,60432236.821685016,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2024,10195043.907469371,2775275.21139334,-2730576.0222723573,-85331.19247158628,10154411.904118767,STAR PROTECTION SECURE PLAN
2024-02-01,185_23_2024,0.0,2770839.7439389974,-2725724.617724511,-85710.31117927106,10113816.719153982,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2024,3437204.1630000854,3692097.4101745803,-3631263.8429652806,-115231.24519467249,13496623.204168694,STAR PROTECTION SECURE PLAN
2024-04-01,185_23_2024,0.0,3873876.891868235,-3811340.2460700423,-115765.1749941491,13443394.674972737,STAR PROTECTION SECURE PLAN
2024-05-01,185_23_2024,0.0,4106573.052121345,-4042008.604194415,-116321.16545766775,13391637.957442,STAR PROTECTION SECURE PLAN
2024-06-01,185_23_2024,0.0,631208.6018104954,-556025.7585549182,-116974.21882952715,13349846.58186805,STAR PROTECTION SECURE PLAN
2024-07-01,185_23_2024,0.0,805677.1493763474,-728499.3925204794,-117650.47098474679,13309373.867739173,STAR PROTECTION SECURE PLAN
2024-08-01,185_23_2024,35416619.18722917,1152368.1614615065,-879970.7458841708,-419483.85390699294,48578906.61663868,STAR PROTECTION SECURE PLAN
2024-09-01,185_23_2024,14187072.995616442,722350.1045707369,-373699.7044558105,-541852.400678497,62572777.61169156,STAR PROTECTION SECURE PLAN
2024-10-01,185_23_2024,3848810.1923536113,131876.5398089274,213806.82110635168,-577100.1111261762,66190171.053834274,STAR PROTECTION SECURE PLAN
2024-11-01,185_23_2024,3220538.133401757,1137053.1081630879,-17991411.770554032,15273008.466146082,67829358.99099118,STAR PROTECTION SECURE PLAN
2024-12-01,185_23_2024,2564951.2417870644,1490405.6061221424,-1095670.315259139,-621748.2760782902,70167297.24756294,STAR PROTECTION SECURE PLAN
2023-12-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_2_2020,85350.96803158108,552.5195548258107,-293.83261275212226,16478.13392431027,102087.78889796503,AJK
2024-12-01,300_2_2020,-102087.78889796497,0.0,0.0,-1.4411072918479663e-11,4.3655745685100555e-11,AJK
2023-12-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-12-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-12-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_3_2021,147733.65243286017,0.0,0.0,-3.6720970089092756e-12,4.32365184e-11,AJK
2024-01-01,300_3_2021,-137268.35235269956,-397.1113234879344,-1097.3412877993019,9727.197450682048,-129035.6075133047,AJK
2024-02-01,300_3_2021,129035.60751330481,0.0,0.0,-4.498334246693256e-12,1.1599609454183426e-10,AJK
2024-03-01,300_3_2021,0.0,0.0,0.0,-4.29855058169421e-12,1.1169754396014004e-10,AJK
2024-04-01,300_3_2021,0.0,0.0,0.0,-4.0968712108662775e-12,1.0760067274927377e-10,AJK
2024-05-01,300_3_2021,0.0,0.0,0.0,-3.89327814624938e-12,1.0370739460302439e-10,AJK
2024-06-01,300_3_2021,-99493.64741096077,2834.3234344858247,-3901.036959153133,6390.552101476638,-94169.80883415134,AJK
2024-07-01,300_3_2021,94169.8088341514,0.0,0.0,-5.240704711374709e-12,5.778843362836685e-11,AJK
2024-08-01,300_3_2021,-87128.9350652238,1194.5885596547746,-2113.0096184534464,4460.448543518922,-83586.9075805035,AJK
2024-09-01,300_3_2021,83586.90758050352,0.0,0.0,-6.698829921814068e-12,2.8684603171633146e-11,AJK
2024-10-01,300_3_2021,-76578.36295151139,495.52817034426516,-1280.4077327144755,976.2293500612232,-76387.01316382035,AJK
2024-11-01,300_3_2021,76387.0131638204,0.0,0.0,-9.453667524357623e-12,4.32365184e-11,AJK
2024-12-01,300_3_2021,-69096.69654008995,480.0718885414485,-1153.1480917381857,-11613.575121137947,-81383.34786442459,AJK
2023-12-01,300_5_2021,-1610513.1273561744,10602.328543475409,-20743.40862024732,66750.96841237071,-1553903.239,AJK
2024-01-01,300_5_2021,1553903.2390205755,0.0,0.0,5.45841168165225e-12,2.0575476810336113e-05,AJK
2024-02-01,300_5_2021,0.0,0.0,0.0,5.331374260336112e-12,2.0575476810336113e-05,AJK
2024-03-01,300_5_2021,0.0,0.0,0.0,5.202039039183422e-12,2.0575476810336113e-05,AJK
2024-04-01,300_5_2021,0.0,0.0,0.0,5.0703644565501124e-12,2.0575476810336113e-05,AJK
2024-05-01,300_5_2021,0.0,0.0,0.0,4.936308199042439e-12,2.0575476810336113e-05,AJK
2024-06-01,300_5_2021,0.0,0.0,0.0,4.7998271879196655e-12,2.0575476810336113e-05,AJK
2024-07-01,300_5_2021,0.0,0.0,0.0,4.660877565250776e-12,2.0575476810336113e-05,AJK
2024-08-01,300_5_2021,0.0,0.0,0.0,4.519414679820811e-12,2.0575476810336113e-05,AJK
2024-09-01,300_5_2021,0.0,0.0,0.0,4.375393072782276e-12,2.0575476810336113e-05,AJK
2024-10-01,300_5_2021,0.0,0.0,0.0,4.228766463047023e-12,2.0575476810336113e-05,AJK
2024-11-01,300_5_2021,0.0,0.0,0.0,4.079487732413905e-12,2.0575476810336113e-05,AJK
2024-12-01,300_5_2021,0.0,0.0,0.0,3.971196386488478e-12,2.0575476810336113e-05,AJK
2023-12-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-12-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-12-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-10-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-11-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-12-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_7_2023,0.0,477789.61483079294,-101548.67600469627,-21768999.423843645,58049592.69794424,AJK
2024-01-01,300_7_2023,0.0,357741.4935985674,-82732.56875127026,-18315281.32310183,40009320.29968971,AJK
2024-02-01,300_7_2023,0.0,246406.65816547748,-56970.30634667531,-14114470.920541104,26084285.730967402,AJK
2024-03-01,300_7_2023,0.0,156716.3517351674,-33592.50367315957,-9722844.771404905,16484564.807624504,AJK
2024-04-01,300_7_2023,0.0,127431.16284819464,-59816.73398641652,-6584575.436108848,9967603.800377436,AJK
2024-05-01,300_7_2023,0.0,73108.62118802273,-32394.463499765865,-4444859.634440717,5563458.323624976,AJK
2024-06-01,300_7_2023,0.0,30862.379384879237,-4975.352364492641,-2629481.036435369,2959864.31420999,AJK
2024-07-01,300_7_2023,0.0,16169.833235772523,-2201.073266777722,-1825856.6757551178,1147976.3984238654,AJK
2024-08-01,300_7_2023,0.0,6209.864114376374,-606.5020338252484,-959146.7925888741,194432.96791554242,AJK
2024-09-01,300_7_2023,0.0,1049.0274466802855,1.1570706059949032e-09,-195481.9931479068,0.0022143200039863586,AJK
2023-12-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-01-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-02-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-03-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-04-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-05-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-06-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-07-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-08-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-09-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-10-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-11-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-12-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2023-12-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2021,9463.383444994572,617.4879629033658,-600.7317171008538,14111.613403200095,23591.753093997177,AJK
2024-04-01,301_2_2021,0.0,632.7559965335362,-541.8265503388737,8539.215533025053,32221.898073216893,AJK
2024-05-01,301_2_2021,0.0,625.0100338240858,-487.6571783709852,-18225.48836493537,14133.762563734625,AJK
2024-06-01,301_2_2021,-14133.762563734601,1.4775539173840993e-14,-1.6839862837514374e-12,3.5342839452783303e-12,2.546585164964199e-11,AJK
2024-07-01,301_2_2021,14112.241203721942,476.7877071269087,-418.76177390210296,-8510.92561604545,5659.341520901324,AJK
2024-08-01,301_2_2021,-5659.3415209013,6.271008798802883e-15,8.171241461241152e-13,4.5804399798330174e-12,2.9103830456733704e-11,AJK
2024-09-01,301_2_2021,0.0,1.0072632994691997e-14,0.0,3.0452374868185177e-12,3.215914057654691e-11,AJK
2024-10-01,301_2_2021,0.0,1.0121269555792011e-14,0.0,8.984147930077817e-13,3.306767663911049e-11,AJK
2024-11-01,301_2_2021,0.0,1.0170141041423972e-14,0.0,6.040912468196944e-13,3.368193802697161e-11,AJK
2024-12-01,301_2_2021,14002.883744493049,244.16421256064075,-179.39665377619897,-1394.634676917753,12673.016626359773,AJK
2023-12-01,301_2_2022,86073.37691466496,6.172378426923852e-15,0.0,-2.250705608475057e-12,1.79891412e-11,AJK
2024-01-01,301_2_2022,0.0,6.198653255506959e-15,0.0,-2.0646806452437705e-12,1.5930659208011735e-11,AJK
2024-02-01,301_2_2022,-60083.05756278958,2760.5307664686366,-3196.0836494901273,-7072.661366959557,-67591.27181277062,AJK
2024-03-01,301_2_2022,67591.27181277063,7.463931838832184e-15,4.725109192804666e-13,-2.6222336851157984e-12,1.79891412e-11,AJK
2024-04-01,301_2_2022,0.0,9.401671524542384e-15,0.0,-2.562826942074059e-12,1.5435715929450482e-11,AJK
2024-05-01,301_2_2022,0.0,9.440997367017155e-15,0.0,-2.3163434647053392e-12,1.3128813462112161e-11,AJK
2024-06-01,301_2_2022,0.0,9.480487714116721e-15,0.0,-2.010313227692369e-12,1.1127980722133908e-11,AJK
2024-07-01,301_2_2022,0.0,9.520143254030489e-15,0.0,-1.4123207031726906e-12,9.725180162215249e-12,AJK
2024-08-01,301_2_2022,0.0,9.559964677827049e-15,0.0,-1.1918431230184251e-12,8.54289700387465e-12,AJK
2024-09-01,301_2_2022,0.0,9.599952679466229e-15,0.0,-1.0044056196405737e-12,7.548091336913543e-12,AJK
2024-10-01,301_2_2022,0.0,9.640107955811191e-15,0.0,-9.204432671310744e-13,6.63728817773828e-12,AJK
2024-11-01,301_2_2022,0.0,9.680431206640569e-15,0.0,-8.008253477606412e-13,5.846143261184279e-12,AJK
2024-12-01,301_2_2022,17242.052773852643,386.014339648832,-304.6615603049804,1444.9508886240562,18768.356441820557,AJK
2023-12-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,301_2_2023,221983.89281041405,2105.134595071283,-1063.532911212686,-39916.3049796481,183109.18951462457,AJK
2024-10-01,301_2_2023,-183109.18951462454,-1.4675512099458674e-16,0.0,1.006768633229901e-12,2.9103830456733704e-11,AJK
2024-11-01,301_2_2023,176923.0855341999,1497.6594476639004,-663.0982644742976,-37589.28722366418,140168.35949372535,AJK
2024-12-01,301_2_2023,-140168.35949372532,-1.4834297369459146e-16,0.0,2.325119112198568e-12,2.9103830456733704e-11,AJK
2024-01-01,301_2_2024,12916.354556022981,2665.5945238230943,-2606.0169698245018,-1312.2280386063321,11663.704071415243,AJK
2024-02-01,301_2_2024,-11663.704071415228,0.0,0.0,0.0,1.4551915228366852e-11,AJK
2024-03-01,301_2_2024,26876.414124212482,1426.058610070571,-1265.706415174908,-2353.431389276291,24683.334929831868,AJK
2024-04-01,301_2_2024,19063.47303443058,3934.8433359275487,-3769.5941828392133,-4246.119473262331,39665.93764408845,AJK
2024-05-01,301_2_2024,-39665.937644088444,0.0,0.0,1.5952423738424267e-12,7.275957614183426e-12,AJK
2024-06-01,301_2_2024,0.0,0.0,0.0,1.532515659808314e-12,8.80847327399174e-12,AJK
2024-07-01,301_2_2024,0.0,0.0,0.0,1.4231695692949705e-12,1.023164284328671e-11,AJK
2024-08-01,301_2_2024,0.0,0.0,0.0,1.3291006109818057e-12,1.1560743454268516e-11,AJK
2024-09-01,301_2_2024,0.0,0.0,0.0,1.1958731267819841e-12,1.27566165810505e-11,AJK
2024-10-01,301_2_2024,0.0,0.0,0.0,1.1118810807585036e-12,1.3868497661809005e-11,AJK
2024-11-01,301_2_2024,0.0,0.0,0.0,1.0534352196888006e-12,1.4921932881497805e-11,AJK
2024-12-01,301_2_2024,0.0,0.0,0.0,5.715111660936209e-13,1.5493444047591427e-11,AJK
2023-12-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
