KODE_PLAN,DISTRIBUSI
300_2,Mikro & UMKM Bank Sinarmas
301_1,KMG Koperasi RSPAD Gatot Soebroto
301_2,KMG Koperasi Indosatu Mitra Fortuna
300_4,KKPM Bank Sinarmas
300_3,KKPM Koperasi Insan Bersama Sejahtera
300_5,KMG Danamas
301_3,KMG BPR Daya Lumbung Asia
301_4,KMG Primkopal Brigif 1 Marinir
304_2,KMG PNS Aktif Bank Bukopin
304_1,KMG Karyawan Swasta Bank Bukopin
300_7,KMG Amartha Mikro Fintek
306_1,KMG Koperasi Pegawai DPR RI
300_6,KMG Bank Ganesha
304_3,KMG MPP Bank Bukopin
308_2,KMG Koperasi RSPAD Gatot Soebroto
308_3,KMG Koperasi Karyawan Garuda
308_1,KMG Koperasi Karyawan Asahimas
308_4,KMG Koperasi Pegawai DPR RI (New Plan)
310_1,UMKM & Mikro Bank SInarmas
