IFRS_MONTH,NAMA_PRODUK,KEY,LIABILITY,TOTAL_LIABILITY,DISTRIBUSI,% LIABILITY
2023-12-01,AJK,300_2_2020,2326287.746473,1886202857.0288918,Mikro & UMKM Bank Sinarmas,0.12 %
2024-01-01,AJK,300_2_2020,2107278.6163514657,1827385692.5509748,Mikro & UMKM Bank Sinarmas,0.12 %
2024-02-01,AJK,300_2_2020,1901759.4244957063,1801182244.1636555,Mikro & UMKM Bank Sinarmas,0.11 %
2024-03-01,AJK,300_2_2020,1710974.927788111,1799479504.3960264,Mikro & UMKM Bank Sinarmas,0.10 %
2024-04-01,AJK,300_2_2020,1531903.0139290213,1785819050.493776,Mikro & UMKM Bank Sinarmas,0.09 %
2024-05-01,AJK,300_2_2020,1365451.6958362882,1760795872.93398,Mikro & UMKM Bank Sinarmas,0.08 %
2024-06-01,AJK,300_2_2020,1213547.992749171,1795386397.5070062,Mikro & UMKM Bank Sinarmas,0.07 %
2024-07-01,AJK,300_2_2020,1072667.9924483595,1869512604.1376579,Mikro & UMKM Bank Sinarmas,0.06 %
2024-08-01,AJK,300_2_2020,943488.907457244,1926648560.0190544,Mikro & UMKM Bank Sinarmas,0.05 %
2024-09-01,AJK,300_2_2020,826236.6924506726,1973029698.6370227,Mikro & UMKM Bank Sinarmas,0.04 %
2024-10-01,AJK,300_2_2020,721287.3129905479,2049114222.7608078,Mikro & UMKM Bank Sinarmas,0.04 %
2024-12-01,AJK,300_2_2020,547715.8680506491,2386010513.805655,Mikro & UMKM Bank Sinarmas,0.02 %
2023-12-01,AJK,300_2_2021,17192815.358740002,1886202857.0288918,Mikro & UMKM Bank Sinarmas,0.91 %
2024-01-01,AJK,300_2_2021,16383036.943309456,1827385692.5509748,Mikro & UMKM Bank Sinarmas,0.90 %
2024-02-01,AJK,300_2_2021,15658171.283290677,1801182244.1636555,Mikro & UMKM Bank Sinarmas,0.87 %
2024-03-01,AJK,300_2_2021,14967667.12346681,1799479504.3960264,Mikro & UMKM Bank Sinarmas,0.83 %
2024-04-01,AJK,300_2_2021,14305545.52041221,1785819050.493776,Mikro & UMKM Bank Sinarmas,0.80 %
2024-05-01,AJK,300_2_2021,13693267.77506007,1760795872.93398,Mikro & UMKM Bank Sinarmas,0.78 %
2024-06-01,AJK,300_2_2021,13141117.293447,1795386397.5070062,Mikro & UMKM Bank Sinarmas,0.73 %
2024-07-01,AJK,300_2_2021,12604142.552268216,1869512604.1376579,Mikro & UMKM Bank Sinarmas,0.67 %
