Outstanding,date,currency,type
2100000.0,2023-12-01,IDR, GMM 
4200000.0,2023-12-01,IDR, GMM 
5600000.0,2023-12-01,IDR, GMM 
1570000.0,2023-12-01,IDR, GMM 
2275500.0,2023-12-01,IDR, GMM 
2200000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
2400000.0,2023-12-01,IDR, GMM 
1115000.0,2023-12-01,IDR, GMM 
3225000.0,2023-12-01,IDR, GMM 
13250000.0,2023-12-01,IDR, GMM 
2800000.0,2023-12-01,IDR, GMM 
800000.0,2023-12-01,IDR, GMM 
1045259.747,2023-12-01,IDR, GMM 
1045259.747,2023-12-01,IDR, GMM 
784990.973,2023-12-01,IDR, GMM 
784990.973,2023-12-01,IDR, GMM 
1371553.972,2023-12-01,IDR, GMM 
834028.357,2023-12-01,IDR, GMM 
784990.973,2023-12-01,IDR, GMM 
784990.973,2023-12-01,IDR, GMM 
1371553.972,2023-12-01,IDR, GMM 
834028.357,2023-12-01,IDR, GMM 
784990.973,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1500000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
4000000.0,2023-12-01,IDR, GMM 
1200000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
1200000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
1400000.0,2023-12-01,IDR, GMM 
20000000.0,2023-12-01,IDR, GMM 
5000000.0,2023-12-01,IDR, GMM 
7500000.0,2023-12-01,IDR, GMM 
3000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
4000000.0,2023-12-01,IDR, GMM 
2200000.0,2023-12-01,IDR, GMM 
5000000.0,2023-12-01,IDR, GMM 
5000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
5400000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
2300000.0,2023-12-01,IDR, GMM 
2840000.0,2023-12-01,IDR, GMM 
1750000.0,2023-12-01,IDR, GMM 
3000000.0,2023-12-01,IDR, GMM 
3000000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1500000.0,2023-12-01,IDR, GMM 
1700000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
3000000.0,2023-12-01,IDR, GMM 
5100000.0,2023-12-01,IDR, GMM 
1500000.0,2023-12-01,IDR, GMM 
4000000.0,2023-12-01,IDR, GMM 
800000.0,2023-12-01,IDR, GMM 
1675000.0,2023-12-01,IDR, GMM 
6000000.0,2023-12-01,IDR, GMM 
3000000.0,2023-12-01,IDR, GMM 
4000000.0,2023-12-01,IDR, GMM 
2076500.0,2023-12-01,IDR, GMM 
3300000.0,2023-12-01,IDR, GMM 
6704000.0,2023-12-01,IDR, GMM 
8000000.0,2023-12-01,IDR, GMM 
500000.0,2023-12-01,IDR, GMM 
22200000.0,2023-12-01,IDR, GMM 
20000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
6600000.0,2023-12-01,IDR, GMM 
6600000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1500000.0,2023-12-01,IDR, GMM 
8000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
6000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
24000000.0,2023-12-01,IDR, GMM 
6000000.0,2023-12-01,IDR, GMM 
8000000.0,2023-12-01,IDR, GMM 
1400000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
6000000.0,2023-12-01,IDR, GMM 
1250000.0,2023-12-01,IDR, GMM 
40000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
1000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
4000000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
0.0,2023-12-01,IDR, GMM 
4500000.0,2023-12-01,IDR, GMM 
10400000.0,2023-12-01,IDR, GMM 
1500000.0,2023-12-01,IDR, GMM 
2000000.0,2023-12-01,IDR, GMM 
