Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Tradisional,300.40298373,37.55418869,145.05874991000002,407.90754495,7133.777615730001,0.0,4218.34081623,11760.02597691,132.993983,0.0,12.5,-81.57860448,112.46610329,-0.9281006,150.45338121,3565.59639945,0.0,0.0,855.841923,4421.43832245,4571.89170366,29.23997172,2765.9740154,2217.46976466,39.87714,508.62711074,0.0,0.0,-488.67320909,2306.54077803,6878.432481689999,0.0,4881.593495220002,0.0,4881.593495220002,-3549.666,1331.927495220002,2024-01-01
PAYDI,104593.78827309,0.0,0.0,104593.78827309,60117.40988928,0.0,0.0,164711.19816237,0.0,207785.52975868,0.0,0.0,0.0,0.0,207785.52975868,0.0,0.0,0.0,0.0,0.0,207785.52975868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521.17474527,2521.17474527,210306.70450395,-45595.50634157998,0.0,0.0,0.0,0.0,0.0,2024-01-01
Gabungan,104894.19125682,37.55418869,145.05874991000002,105001.69581804,67251.18750500999,0.0,4218.34081623,176471.22413927998,132.993983,207785.52975868,12.5,-81.57860448,112.46610329,-0.9281006,207935.98313989,3565.59639945,0.0,0.0,855.841923,4421.43832245,212357.42146234,29.23997172,2765.9740154,2217.46976466,39.87714,508.62711074,0.0,0.0,2032.50153618,4827.715523299999,217185.13698564,-45595.50634157998,4881.593495219975,0.0,4881.593495219975,-3549.666,1331.9274952199748,2024-01-01
Tradisional,633.36130965,75.0714279,265.45147276999995,823.74135452,6107.5730983,0.0,11166.82232178,18098.1367746,189.666273,0.0,12.5,-101.22980699,130.47471424,-2.19397984,204.21720041,5876.22137643,0.0,0.0,1364.4794,7240.70077643,7444.91797684,38.56679672,6290.2258029,5203.76242749,114.91203,971.55134541,0.0,0.0,95.24764827,6424.0402478900005,13868.95822473,0.0,4229.178549869999,0.0,4229.178549869999,-3549.666,679.512549869999,2024-02-01
PAYDI,277016.35904411,0.0,0.0,277016.35904411,57740.90710534,0.0,0.0,334757.26614945,0.0,420477.04144326,0.0,0.0,0.0,0.0,420477.04144326,0.0,0.0,0.0,0.0,0.0,420477.04144326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10327.27302038,10327.27302038,430804.31446364,-96047.04831419006,0.0,0.0,0.0,0.0,0.0,2024-02-01
Gabungan,277649.72035376,75.0714279,265.45147276999995,277840.10039863,63848.48020364001,0.0,11166.82232178,352855.40292405005,189.666273,420477.04144326,12.5,-101.22980699,130.47471424,-2.19397984,420681.25864367007,5876.22137643,0.0,0.0,1364.4794,7240.70077643,427921.9594201001,38.56679672,6290.2258029,5203.76242749,114.91203,971.55134541,0.0,0.0,10422.52066865,16751.31326827,444673.2726883701,-96047.04831419006,4229.178549870034,0.0,4229.178549870034,-3549.666,679.5125498700336,2024-02-01
Tradisional,981.77981344,113.23137857,400.77692786,1269.32536273,8344.08701905,0.0,17146.09611466,26759.50849644,381.92248677,0.0,12.5,-81.47571043,116.13703358,-3.83124503,400.25256489,8402.82688388,0.0,0.0,1773.437137,10176.26402088,10576.51658577,85.04043016,10720.58559163,9099.11915209,130.380068,1491.08637154,0.0,0.0,148.28958173,10953.915603519998,21530.43218929,0.0,5229.076307150004,0.0,5229.076307150004,-3674.5285,1554.5478071500042,2024-03-01
PAYDI,368524.08393281,0.0,0.0,368524.08393281,117640.28631257,0.0,0.0,486164.37024538,0.0,516804.73115472,0.0,0.0,0.0,0.0,516804.73115472,0.0,0.0,0.0,0.0,0.0,516804.73115472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7076.59190543,7076.59190543,523881.32306015,-37716.95281477005,0.0,0.0,0.0,0.0,0.0,2024-03-01
Gabungan,369505.86374625,113.23137857,400.77692786,369793.40929554,125984.37333162,0.0,17146.09611466,512923.87874182,381.92248677,516804.73115472,12.5,-81.47571043,116.13703358,-3.83124503,517204.98371961,8402.82688388,0.0,0.0,1773.437137,10176.26402088,527381.24774049,85.04043016,10720.58559163,9099.11915209,130.380068,1491.08637154,0.0,0.0,7224.881487160001,18030.50750895,545411.75524944,-37716.95281477005,5229.076307150011,0.0,5229.076307150011,-3674.5285,1554.5478071500115,2024-03-01
Tradisional,1346.44478005,151.53725462,494.96886589,1689.87639132,6345.297046009999,0.0,20484.93304779,28520.10648512,1018.21684554,0.0,93.745,-207.07543403,-523.53225081,-4.89270528,188.97145542,10628.99013393,0.0,0.0,2164.027791,12793.01792493,12981.98938035,98.14928116,14640.40145825,12221.53588085,221.312108,2197.5534694,0.0,0.0,-210.20290328999988,14528.34783612,27510.33721647,0.0,1009.7692686499976,0.0,1009.7692686499976,-3549.666,-2539.8967313500025,2024-04-01
