IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,AJK,2844147025.6440086,802615145.5063775,2041531880.137631,274231178.02913463,220997415.79989094,15694142.753921743,37539619.47532197,0,71819966.24842975,29569947.032526214,66290883.14186198,-24040863.925958455,0,-202411211.7807049,54496810.0,-13014015.0,0,67510825.0,-243775231.9550931,0,53276868.14186198,35169340.704492055,0.0,-155329023.10873905,2635541134.3934073,749338277.3645154,1886202857.0288918
2024-01-01,AJK,2635541134.3934073,749338277.3645154,1886202857.0288918,139395498.02547818,103838680.50497308,7288742.242689087,28268075.277816024,0,47042436.98386821,14550903.684059506,30951258.078082215,1540275.2217264948,0,-92353061.04160997,46716859.0,-9956903.91,0,56673762.91,-91138363.80375168,0,20994354.168082215,11326845.15775255,0.0,-58817164.47791692,2555729615.747408,728343923.1964332,1827385692.5509748
2024-02-01,AJK,2555729615.747408,728343923.1964332,1827385692.5509748,132161289.80769557,100874908.208941,7070218.115349768,24216163.483404808,0,45016435.99927968,14113312.237271937,30172727.055443328,730396.7065644125,0,-87144853.80841589,82417121.0,-18873963.39,0,101291084.39,-49013772.101131156,0,11298763.665443327,11511560.04836854,0.0,-26203448.387319285,2518227403.6946454,717045159.5309899,1801182244.1636555
2024-03-01,AJK,2518227403.694646,717045159.5309899,1801182244.1636558,117602736.78130877,90534843.17669584,6353418.859160294,20714474.74545264,0,37997788.55288517,12571178.336765781,27000654.5850929,-1574044.3689735152,0,-79604948.2284236,98237962.0,-18659618.89,0,116897580.89,-20938819.15028228,0,8341035.695092898,10895043.68756029,0.0,-1702739.7676290907,2508183628.2319236,708704123.835897,1799479504.3960266
2024-04-01,AJK,2508183628.2319236,708704123.835897,1799479504.3960266,107885788.63818596,83592798.21178108,5891215.749102152,18401774.677302733,0,29586335.525852736,11467795.83523363,24680640.720759567,-6562101.030140463,0,-78299453.11233322,78327413.0,-11490599.67,0,89818012.67,-36120476.66832642,0,13190041.050759567,9269981.715316571,0.0,-13660453.902250282,2481333133.2789135,695514082.7851374,1785819050.4937763
2024-05-01,AJK,2481333133.2789135,695514082.7851374,1785819050.493776,98496597.02851333,76494866.5727658,5322275.462073046,16679454.993674483,0,28986972.833422408,10719395.419203755,23272111.952035353,-5004534.537816705,0,-69509624.19509092,58769981.0,-12530397.99,0,71300378.99,-44731150.56633003,0,10741713.962035352,8966259.044498542,0.0,-25023177.55979614,2445568241.757082,684772368.8231021,1760795872.93398
2024-06-01,AJK,2445568241.757082,684772368.8231021,1760795872.93398,97724423.42722948,75944347.83999473,5447394.897226097,16332680.690008659,0,30854350.550077543,9929908.160765264,21470398.867733765,-545956.478421486,0,-66870072.87715194,123511957.0,-21165766.35,0,144677723.35,25241577.09434904,0,304632.5177337639,9044314.960943514,0.0,34590524.57302632,2479854133.8123746,684467736.3053683,1795386397.5070064
2024-07-01,AJK,2479854133.8123746,684467736.3053683,1795386397.5070064,98715250.77482906,75648010.815788,5402170.804716535,17665069.15432454,0,34839620.58395633,10187821.985094436,21626302.76862265,3025495.830239242,0,-63875630.19087273,161893312.0,-23675814.69,0,185569126.69,66203557.05541018,0,-2049511.9213773496,9972161.49661888,0.0,74126206.63065171,2556029852.3644037,686517248.2267456,1869512604.137658
2024-08-01,AJK,2556029852.3644037,686517248.2267456,1869512604.137658,99112452.48340257,74748766.04321355,5343187.596365571,19020498.84382345,0,29716961.247974362,10188364.907549359,21316890.07955784,-1788293.7391328365,0,-69395491.2354282,147355740.0,-22041528.38,0,169397268.38,46454993.7774646,0,-724638.3004421592,11405600.404374095,0.0,57135955.88139653,2613890446.5462427,687241886.5271878,1926648560.0190547
2024-09-01,AJK,2613890446.546242,687241886.5271877,1926648560.0190547,97969231.25505078,72314730.2142222,5305249.7406044705,20349251.300224107,0,27468023.923092883,9296340.990621725,19262232.808177497,-1090549.8757063397,0,-70501207.33195789,133129139.0,-20153437.36,0,153282576.36,34069357.86924288,0,-891204.5518225022,13202985.300547902,0.0,46381138.617968276,2661162789.716033,688133091.0790102,1973029698.637023
