IFRS_MONTH,KEY,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin,NAMA_PRODUK
2023-12-01,185_22_2023,0.0,3677330.4684385518,-3652777.735505955,-105130.92619476106,12048973.4429,STAR PROTECTION SECURE PLAN
2024-01-01,185_22_2023,0.0,3598083.4718611706,-3573109.0410604263,-105348.42244307582,11968599.451257668,STAR PROTECTION SECURE PLAN
2024-02-01,185_22_2023,0.0,3350719.11891474,-3326349.1820150735,-105562.52248582782,11887406.865671508,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2023,0.0,3384492.2387566515,-3358945.4524743175,-105788.97723217704,11807164.674721664,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2023,0.0,3656588.911987596,-3628335.492279033,-106041.72225539121,11729376.372174837,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2023,0.0,3943872.4851382184,-3912787.2906548665,-106322.3637247077,11654139.202933481,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2023,0.0,-419180.1526853321,461264.67054164887,-106705.93020834343,11589517.790581454,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2023,0.0,-111803.88481637966,77911.16503886206,-106389.37278021495,11449235.698023722,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2023,0.0,11720.692204200916,-261206.1780792183,-104068.91363912528,11095681.29850958,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2023,0.0,-180035.1339164868,-74624.80391252117,-101678.10434810646,10739343.256332465,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2024,899784.5914888273,373599.0924384743,-373123.3800161547,-7502.169199259561,892758.1347118872,STAR PROTECTION SECURE PLAN
2024-04-01,185_22_2024,0.0,391619.61483985756,-390965.1084017758,-7507.669253361086,885904.9718966079,STAR PROTECTION SECURE PLAN
2024-05-01,185_22_2024,0.0,414702.20851491595,-413834.73109259014,-7515.020756940119,879257.4285619936,STAR PROTECTION SECURE PLAN
2024-06-01,185_22_2024,0.0,67411.77172730878,-65742.93527085206,-7529.284316397015,873396.9807020533,STAR PROTECTION SECURE PLAN
2024-07-01,185_22_2024,0.0,92052.86909098041,-90130.72050616723,-7545.854562817818,867773.2747240487,STAR PROTECTION SECURE PLAN
2024-08-01,185_22_2024,0.0,102689.3823091418,-100599.54486766353,-7564.027062308933,862299.085103218,STAR PROTECTION SECURE PLAN
2024-09-01,185_22_2024,0.0,79319.2895920584,-77274.47228538289,-7581.964056227138,856761.9383536663,STAR PROTECTION SECURE PLAN
2023-12-01,185_23_2023,16718989.772415241,25542441.11195039,-25441517.913828354,-599419.4561890878,70017174.481,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2023,0.0,25468769.63202719,-25363240.91147615,-600327.692048057,69522375.50950299,STAR PROTECTION SECURE PLAN
2024-02-01,185_23_2023,0.0,25390911.066255603,-25280690.70093234,-601284.2946014489,69031311.5802248,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2023,0.0,24861611.77520029,-24749401.033997297,-602266.4049659958,68541255.9164618,STAR PROTECTION SECURE PLAN
2024-04-01,185_23_2023,0.0,26205664.92705907,-26079560.603222325,-603379.2095256636,68063981.03077288,STAR PROTECTION SECURE PLAN
2024-05-01,185_23_2023,0.0,27600121.276038695,-27459659.05239932,-604629.1638389158,67599814.09057334,STAR PROTECTION SECURE PLAN
2024-06-01,185_23_2023,0.0,1461190.446579218,-1258691.6597079153,-606445.1524515408,67195867.72499311,STAR PROTECTION SECURE PLAN
2024-07-01,185_23_2023,0.0,3303255.2451043036,-3081167.749838848,-608454.2211222113,66809500.99913634,STAR PROTECTION SECURE PLAN
2024-08-01,185_23_2023,0.0,4074335.3793403315,-3839191.270560114,-610600.4434558302,66434044.66446073,STAR PROTECTION SECURE PLAN
2024-09-01,185_23_2023,0.0,2991657.98320273,-3324327.3975797086,-607508.7841267339,65493866.46595702,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2024,10195043.907469371,2775275.21139334,-2730576.0222723573,-85331.19247158628,10154411.904118767,STAR PROTECTION SECURE PLAN
2024-02-01,185_23_2024,0.0,2770839.7439389974,-2725724.617724511,-85710.31117927106,10113816.719153982,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2024,3437204.1630000854,3692097.4101745803,-3631263.8429652806,-115231.24519467249,13496623.204168694,STAR PROTECTION SECURE PLAN
2024-04-01,185_23_2024,0.0,3873876.891868235,-3811340.2460700423,-115765.1749941491,13443394.674972737,STAR PROTECTION SECURE PLAN
2024-05-01,185_23_2024,0.0,4106573.052121345,-4042008.604194415,-116321.16545766775,13391637.957442,STAR PROTECTION SECURE PLAN
2024-06-01,185_23_2024,0.0,631208.6018104954,-556025.7585549182,-116974.21882952715,13349846.58186805,STAR PROTECTION SECURE PLAN
2024-07-01,185_23_2024,0.0,805677.1493763474,-728499.3925204794,-117650.47098474679,13309373.867739173,STAR PROTECTION SECURE PLAN
2024-08-01,185_23_2024,35416619.18722917,1152368.1614615065,-879970.7458841708,-419483.85390699294,48578906.61663868,STAR PROTECTION SECURE PLAN
2024-09-01,185_23_2024,14187072.995616442,722350.1045707369,-373699.7044558105,-541852.400678497,62572777.61169156,STAR PROTECTION SECURE PLAN
2023-12-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2020,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_2_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_3_2021,147733.65243286017,0.0,0.0,-3.6720970089092756e-12,4.32365184e-11,AJK
2024-01-01,300_3_2021,-137268.35235269956,-397.11132348793444,-1097.3412877993019,9727.197450682048,-129035.6075133047,AJK
2024-02-01,300_3_2021,129035.6075133048,0.0,0.0,-4.498334246693256e-12,1.0144417931346741e-10,AJK
2024-03-01,300_3_2021,0.0,0.0,0.0,-4.29855058169421e-12,9.714562873177319e-11,AJK
2024-04-01,300_3_2021,0.0,0.0,0.0,-4.0968712108662775e-12,9.304875752090691e-11,AJK
2024-05-01,300_3_2021,0.0,0.0,0.0,-3.89327814624938e-12,8.915547937465754e-11,AJK
2024-06-01,300_3_2021,-99493.64741096077,2834.3234344858247,-3901.036959153133,6390.552101476638,-94169.80883415135,AJK
2024-07-01,300_3_2021,94169.8088341514,0.0,0.0,-5.240704711374709e-12,4.32365184e-11,AJK
2024-08-01,300_3_2021,-87128.9350652238,1194.5885596547746,-2113.0096184534464,4460.448543518922,-83586.90758050351,AJK
2024-09-01,300_3_2021,83586.90758050352,0.0,0.0,-6.698829921814068e-12,1.4132687943266294e-11,AJK
2023-12-01,300_5_2021,-1610513.1273561744,10602.328543475409,-20743.40862024732,66750.96841237071,-1553903.239,AJK
2024-01-01,300_5_2021,1553903.2390205755,0.0,0.0,5.45841168165225e-12,2.0575476810336113e-05,AJK
2024-02-01,300_5_2021,0.0,0.0,0.0,5.331374260336112e-12,2.0575476810336113e-05,AJK
2024-03-01,300_5_2021,0.0,0.0,0.0,5.202039039183422e-12,2.0575476810336113e-05,AJK
2024-04-01,300_5_2021,0.0,0.0,0.0,5.0703644565501124e-12,2.0575476810336113e-05,AJK
2024-05-01,300_5_2021,0.0,0.0,0.0,4.936308199042439e-12,2.0575476810336113e-05,AJK
2024-06-01,300_5_2021,0.0,0.0,0.0,4.7998271879196655e-12,2.0575476810336113e-05,AJK
2024-07-01,300_5_2021,0.0,0.0,0.0,4.660877565250776e-12,2.0575476810336113e-05,AJK
2024-08-01,300_5_2021,0.0,0.0,0.0,4.519414679820811e-12,2.0575476810336113e-05,AJK
2024-09-01,300_5_2021,0.0,0.0,0.0,4.375393072782276e-12,2.0575476810336113e-05,AJK
2023-12-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_5_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_6_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,300_6_2024,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,300_7_2023,0.0,477789.61483079294,-101548.67600469627,-21768999.423843645,58049592.69794424,AJK
2024-01-01,300_7_2023,0.0,357741.4935985674,-82732.56875127026,-18315281.32310183,40009320.29968971,AJK
2024-02-01,300_7_2023,0.0,246406.65816547748,-56970.30634667531,-14114470.920541104,26084285.730967402,AJK
2024-03-01,300_7_2023,0.0,156716.3517351674,-33592.50367315957,-9722844.771404905,16484564.807624504,AJK
2024-04-01,300_7_2023,0.0,127431.16284819464,-59816.73398641652,-6584575.436108848,9967603.800377436,AJK
2024-05-01,300_7_2023,0.0,73108.62118802273,-32394.463499765865,-4444859.634440717,5563458.323624976,AJK
2024-06-01,300_7_2023,0.0,30862.379384879237,-4975.352364492641,-2629481.036435369,2959864.31420999,AJK
2024-07-01,300_7_2023,0.0,16169.833235772523,-2201.073266777722,-1825856.6757551178,1147976.3984238654,AJK
2024-08-01,300_7_2023,0.0,6209.864114376374,-606.5020338252484,-959146.7925888741,194432.96791554242,AJK
2024-09-01,300_7_2023,0.0,1049.0274466802855,1.1570706059949032e-09,-195481.9931479068,0.0022143200039863586,AJK
2023-12-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-01-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-02-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-03-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-04-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-05-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-06-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-07-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-08-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2024-09-01,301_1_2020,0.0,0.0,0.0,0.0,-2.146587007e-11,AJK
2023-12-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_2_2021,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2021,9463.383444994573,617.4879629033658,-600.7317171008538,14111.613403200095,23591.75309399718,AJK
2024-04-01,301_2_2021,0.0,632.7559965335362,-541.8265503388737,8539.215533025053,32221.898073216897,AJK
2024-05-01,301_2_2021,0.0,625.0100338240858,-487.6571783709852,-18225.48836493537,14133.762563734628,AJK
2024-06-01,301_2_2021,-14133.762563734601,1.4775539173840993e-14,-1.6839862837514374e-12,3.5342839452783303e-12,2.9103830456733704e-11,AJK
2024-07-01,301_2_2021,14112.241203721942,476.7877071269087,-418.76177390210296,-8510.92561604545,5659.341520901327,AJK
2024-08-01,301_2_2021,-5659.3415209013,6.271008798802883e-15,8.171241461241152e-13,4.5804399798330174e-12,3.2741809263825417e-11,AJK
2024-09-01,301_2_2021,0.0,1.0072632994691997e-14,0.0,3.0452374868185177e-12,3.5797119383638626e-11,AJK
2023-12-01,301_2_2022,86073.37691466496,6.172378426923852e-15,0.0,-2.250705608475057e-12,1.79891412e-11,AJK
2024-01-01,301_2_2022,0.0,6.198653255506959e-15,0.0,-2.0646806452437705e-12,1.5930659208011735e-11,AJK
2024-02-01,301_2_2022,-60083.05756278958,2760.5307664686366,-3196.0836494901273,-7072.661366959558,-67591.27181277062,AJK
2024-03-01,301_2_2022,67591.27181277063,7.463931838832184e-15,4.725109192804666e-13,-2.6222336851157984e-12,1.79891412e-11,AJK
2024-04-01,301_2_2022,0.0,9.401671524542384e-15,0.0,-2.562826942074059e-12,1.5435715929450482e-11,AJK
2024-05-01,301_2_2022,0.0,9.440997367017155e-15,0.0,-2.3163434647053392e-12,1.3128813462112161e-11,AJK
2024-06-01,301_2_2022,0.0,9.480487714116723e-15,0.0,-2.010313227692369e-12,1.1127980722133908e-11,AJK
2024-07-01,301_2_2022,0.0,9.520143254030489e-15,0.0,-1.4123207031726906e-12,9.725180162215249e-12,AJK
2024-08-01,301_2_2022,0.0,9.559964677827047e-15,0.0,-1.1918431230184251e-12,8.54289700387465e-12,AJK
2024-09-01,301_2_2022,0.0,9.599952679466229e-15,0.0,-1.0044056196405737e-12,7.548091336913543e-12,AJK
2023-12-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,301_2_2023,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,301_2_2023,221983.89281041405,2105.134595071283,-1063.532911212686,-39916.3049796481,183109.18951462457,AJK
2024-01-01,301_2_2024,12916.354556022981,2665.5945238230943,-2606.0169698245018,-1312.2280386063321,11663.704071415243,AJK
2024-02-01,301_2_2024,-11663.704071415228,0.0,0.0,0.0,1.4551915228366852e-11,AJK
2024-03-01,301_2_2024,26876.41412421249,1426.058610070571,-1265.706415174908,-2353.431389276291,24683.334929831875,AJK
2024-04-01,301_2_2024,19063.47303443058,3934.8433359275487,-3769.5941828392133,-4246.119473262331,39665.93764408846,AJK
2024-05-01,301_2_2024,-39665.937644088444,0.0,0.0,1.5952423738424267e-12,1.4551915228366852e-11,AJK
2024-06-01,301_2_2024,0.0,0.0,0.0,1.532515659808314e-12,1.6084430888175165e-11,AJK
2024-07-01,301_2_2024,0.0,0.0,0.0,1.4231695692949705e-12,1.7507600457470135e-11,AJK
2024-08-01,301_2_2024,0.0,0.0,0.0,1.3291006109818057e-12,1.883670106845194e-11,AJK
2024-09-01,301_2_2024,0.0,0.0,0.0,1.1958731267819841e-12,2.0032574195233925e-11,AJK
2023-12-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-01-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-02-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-03-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-04-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-05-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-06-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-07-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-08-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2024-09-01,301_3_2022,0.0,0.0,0.0,0.0,0.0,AJK
2023-12-01,301_4_2022,0.0,60984.957909658,-44563.93926195416,-314037.91595906625,3368692.4747989,AJK
2024-01-01,301_4_2022,0.0,56022.466000217944,-40948.03868137786,-300348.658733752,3083418.2433839883,AJK
2024-02-01,301_4_2022,0.0,50113.190446183326,-36329.79405997194,-286398.84477426053,2810802.794995939,AJK
2024-03-01,301_4_2022,0.0,45358.23664073319,-32808.1647243475,-272185.019331947,2551167.847580378,AJK
2024-04-01,301_4_2022,0.0,91558.57450406549,-81712.86925372908,-257549.62880166387,2303463.9240290504,AJK
2024-05-01,301_4_2022,0.0,85645.02823294183,-76770.781421819,-242661.2799849581,2069676.890855215,AJK
2024-06-01,301_4_2022,0.0,42329.76203778838,-33131.66265448107,-227654.03965230155,1851220.9505862207,AJK
2024-07-01,301_4_2022,0.0,40938.34391152439,-32734.035713489484,-205587.2478639272,1653838.0109203286,AJK
2024-08-01,301_4_2022,0.0,37677.91892794392,-30389.627487547004,-179092.07671714676,1482034.2256435787,AJK
2024-09-01,301_4_2022,0.0,33450.16040414324,-26961.04665423254,-158152.79450614683,1330370.5448873425,AJK
2023-12-01,301_4_2023,3666606.5355643043,125164.47066662148,-4010.015190414915,-1229897.9301756443,18660374.32746,AJK
2024-01-01,301_4_2023,0.0,95221.67643438367,2000.2432570658514,-1188925.7539789495,17568670.493172497,AJK
2024-02-01,301_4_2023,0.0,87553.24554367951,3881.3885268788313,-1152275.044371327,16507830.08287173,AJK
2024-03-01,301_4_2023,0.0,82472.34212934972,3310.154936988073,-1108978.9194266566,15484633.660511412,AJK
2024-04-01,301_4_2023,0.0,335624.3942770055,-264505.28186397895,-1067529.7134346876,14488223.05948975,AJK
2024-05-01,301_4_2023,0.0,328825.8776446541,-262376.98655473755,-1026546.2728482473,13528125.677731419,AJK
2024-06-01,301_4_2023,0.0,121924.82439943822,-51912.80091134717,-987716.9526211369,12610420.748598374,AJK
2024-07-01,301_4_2023,0.0,127590.91617517524,-62478.46861828503,-946374.2608819992,11729158.935273264,AJK
2024-08-01,301_4_2023,0.0,122319.91173891847,-61866.92194162295,-907128.3564558083,10882483.568614751,AJK
2024-09-01,301_4_2023,0.0,110041.41020496032,-54104.06490199913,-867254.5724803766,10071166.341437336,AJK
2024-01-01,301_4_2024,1080660.8726381485,19803.777789101754,-8636.215957936596,-74731.14615642144,1017097.2883128922,AJK
2024-02-01,301_4_2024,1611945.1354475836,32675.665205142188,-10594.165796104886,-175323.03654427905,2475800.886625234,AJK
2024-03-01,301_4_2024,2795452.122282289,61144.957011773986,-24779.093515010056,-340474.1865298497,4967144.685874438,AJK
2024-04-01,301_4_2024,467843.2968761225,122650.42033376552,-95158.05451917852,-352331.0094974595,5110149.339067688,AJK
2024-05-01,301_4_2024,1995975.803815012,185555.71427858577,-143528.19831953786,-450613.5901344231,6697539.0687073255,AJK
2024-06-01,301_4_2024,2348136.089333499,101508.4230451073,-41733.96689664712,-562910.6036181672,8542539.010571117,AJK
2024-07-01,301_4_2024,2243712.143494279,119662.41754584294,-50833.28650360655,-660668.286805304,10194411.998302327,AJK
2024-08-01,301_4_2024,2160097.124658389,138178.64773372788,-57152.29512199286,-762546.476583009,11672988.998989442,AJK
2024-09-01,301_4_2024,1322782.0647676429,128787.91467985693,-50027.73166790975,-827501.7653417859,12247029.481427247,AJK
2023-12-01,304_1_2022,0.0,5593.608271688679,-21.38176269245443,-42067.296124712564,977598.0967100001,AJK
2024-01-01,304_1_2022,0.0,5556.950246877377,-185.0798082463018,-41515.002950093825,941454.9641985373,AJK
2024-02-01,304_1_2022,0.0,5348.448561819182,-175.02910159604585,-40943.33510947173,905685.0485492888,AJK
2024-03-01,304_1_2022,0.0,5290.857024048117,-313.8003628641937,-40351.84762101274,870310.2575894599,AJK
2024-04-01,304_1_2022,0.0,16360.638312435565,-12096.898168759546,-39716.49577118441,834857.5019619515,AJK
2024-05-01,304_1_2022,0.0,15789.62056951002,-11699.434120973732,-39061.163467589635,799886.5249428982,AJK
2024-06-01,304_1_2022,0.0,6670.412333131975,-2273.991176556409,-38408.22575914971,765874.7203403241,AJK
2024-07-01,304_1_2022,0.0,7067.840591415131,-2857.9700598734903,-37733.61963860046,732350.9712332652,AJK
2024-08-01,304_1_2022,0.0,6944.869060543532,-2918.9516947911725,-37036.84727305232,699340.0413259652,AJK
2024-09-01,304_1_2022,0.0,6489.573952514767,-2644.8362362749626,-36317.403231839235,666867.3758103659,AJK
2023-12-01,304_1_2023,0.0,-7044.418975405603,30893.373318992428,-205098.98353511505,4487767.943969999,AJK
2024-01-01,304_1_2023,0.0,-4606.381510717531,27423.798390832508,-202222.5926486978,4308362.768201416,AJK
2024-02-01,304_1_2023,0.0,-4212.777636404684,26058.684082137082,-199248.84188384726,4130959.8327633017,AJK
2024-03-01,304_1_2023,0.0,-2454.465334594546,23272.393274188187,-196172.12185105533,3955605.63885184,AJK
2024-04-01,304_1_2023,0.0,104779.56761250559,-87235.22588295364,-192880.52736372454,3780269.4532176675,AJK
2024-05-01,304_1_2023,0.0,107484.98280663387,-90728.7763821052,-189491.59549255422,3607534.064149642,AJK
2024-06-01,304_1_2023,0.0,22810.414557103093,-4681.5682565854095,-186113.6139345194,3439549.29651564,AJK
